item,condition,word_position,word,region,stor
22,SR,2,singer,N1,22.228754872295603
22,SR,3,who,WHO,18.725843884329674
22,SR,4,helped,V2,23.46320558030059
22,SR,5,the,THE,11.489175443554801
22,SR,6,guard,N2,13.49931580411932
22,SR,7,avoided,V1,20.583015780932463
22,SR,8,the,THE,7.212470207701126
22,SR,9,student,N3,0.825679046876185
22,OR,1,The,THE,0.0
22,OR,2,singer,N1,22.228754872295603
22,OR,3,who,WHO,18.725843884329674
22,OR,4,the,THE,23.46320558030059
22,OR,5,guard,N2,32.62103941519008
22,OR,6,helped,V2,36.16546770300489
22,OR,7,avoided,V1,33.62896197073256
22,OR,8,the,THE,7.859448587175175
22,OR,9,student,N3,0.6451125057685723
23,SR,1,The,THE,0.0
23,SR,2,senator,N1,22.228754872295603
23,SR,3,who,WHO,36.53177320711229
23,SR,4,called,V2,20.584851996700063
23,SR,5,the,THE,20.26905693723782
23,SR,6,student,N2,23.324699696393527
23,SR,7,warned,V1,18.2933105271061
23,SR,8,the,THE,11.34626424554372
23,SR,9,detective,N3,8.022149011903448
23,OR,1,The,THE,0.0
23,OR,2,senator,N1,22.228754872295603
23,OR,3,who,WHO,36.53177320711229
23,OR,4,the,THE,20.584851996700063
23,OR,5,student,N2,39.56919001885149
23,OR,6,called,V2,34.470139779026916
23,OR,7,warned,V1,20.001748043624413
23,OR,8,the,THE,8.110901698838791
23,OR,9,detective,N3,5.872887907957202
24,SR,1,The,THE,0.0
24,SR,2,president,N1,22.228754872295603
24,SR,3,who,WHO,35.80255025711949
24,SR,4,praised,V2,27.009088325393748
24,SR,5,the,THE,14.804882241164993
24,SR,6,banker,N2,14.59627953943228
24,SR,7,trusted,V1,10.239479634433721
24,SR,8,the,THE,4.723888569727863
24,SR,9,judge,N3,1.2270531799504116
24,OR,1,The,THE,0.0
24,OR,2,president,N1,22.228754872295603
24,OR,3,who,WHO,35.80255025711949
24,OR,4,the,THE,27.009088325393748
24,OR,5,banker,N2,34.2258938878812
24,OR,6,praised,V2,34.89924259831373
24,OR,7,trusted,V1,24.75554348805394
24,OR,8,the,THE,25.20431898356524
24,OR,9,judge,N3,1.3685408406109034
25,SR,1,The,THE,0.0
25,SR,2,detective,N1,22.228754872295603
25,SR,3,who,WHO,30.48340891748024
25,SR,4,warned,V2,20.21342226951021
25,SR,5,the,THE,16.13251637408215
25,SR,6,banker,N2,14.818362499313597
25,SR,7,admired,V1,13.022259814716525
25,SR,8,the,THE,2.069088793367989
25,SR,9,actor,N3,0.3462059854181665
25,OR,1,The,THE,0.0
25,OR,2,detective,N1,22.228754872295603
25,OR,3,who,WHO,30.48340891748024
25,OR,4,the,THE,20.21342226951021
25,OR,5,banker,N2,41.84861728849264
25,OR,6,warned,V2,37.2855305356444
25,OR,7,admired,V1,41.06594576374519
25,OR,8,the,THE,13.393732088801864
25,OR,9,actor,N3,0.3944587197524308
26,SR,1,The,THE,0.0
26,SR,2,actor,N1,22.228754872295603
26,SR,3,who,WHO,18.154812640392304
26,SR,4,ignored,V2,37.21260978418941
26,SR,5,the,THE,28.46979571124685
26,SR,6,baker,N2,23.305246738754434
26,SR,7,called,V1,25.66831252517187
26,SR,8,the,THE,6.848468395078666
26,SR,9,lawyer,N3,23.495950776055228
26,OR,1,The,THE,0.0
26,OR,2,actor,N1,22.228754872295603
26,OR,3,who,WHO,18.154812640392304
26,OR,4,the,THE,37.21260978418941
26,OR,5,baker,N2,36.06508796503701
26,OR,6,ignored,V2,27.674741758104744
26,OR,7,called,V1,24.64912308520173
26,OR,8,the,THE,9.002775727975202
26,OR,9,lawyer,N3,21.458682151615417
27,SR,1,The,THE,0.0
27,SR,2,student,N1,22.228754872295603
27,SR,3,who,WHO,31.401376635419535
27,SR,4,called,V2,17.611549887245896
27,SR,5,the,THE,22.654919711957724
27,SR,6,dancer,N2,24.0592958143559
27,SR,7,stopped,V1,9.777259577922788
27,SR,8,the,THE,9.005788522740245
27,SR,9,guard,N3,0.5654778285764311
27,OR,1,The,THE,0.0
27,OR,2,student,N1,22.228754872295603
27,OR,3,who,WHO,31.401376635419535
27,OR,4,the,THE,17.611549887245896
27,OR,5,dancer,N2,28.611234071333776
27,OR,6,called,V2,31.62038875907837
27,OR,7,stopped,V1,14.702280089638077
27,OR,8,the,THE,11.545647242209943
27,OR,9,guard,N3,0.534318602915518
28,SR,1,The,THE,0.0
28,SR,2,dancer,N1,22.228754872295603
28,SR,3,who,WHO,27.55288439674048
28,SR,4,questioned,V2,18.08928484265646
28,SR,5,the,THE,16.291303226100887
28,SR,6,judge,N2,26.25547187215053
28,SR,7,trusted,V1,20.384576522939476
28,SR,8,the,THE,5.6578677972200735
28,SR,9,pilot,N3,0.5129905076851529
28,OR,1,The,THE,0.0
28,OR,2,dancer,N1,22.228754872295603
28,OR,3,who,WHO,27.55288439674048
28,OR,4,the,THE,18.08928484265646
28,OR,5,judge,N2,29.630424113243194
28,OR,6,questioned,V2,30.745800784109818
28,OR,7,trusted,V1,18.37525725054584
28,OR,8,the,THE,16.842689243857183
28,OR,9,pilot,N3,0.6248033247763763
